fund_name,charge_ongoing,management,fee
AAM s&P 500 High Dividend Value ETF,,0.29,
AB International Low Volatility Equity ETF,,0.50,
abrdn Bloomberg All Commodity Longer Dated Strategy K-1 Free ETF,,0.29,
AdvisorShares Focused Equity ETF,,0.85,
AdvisorShares Insider Advantage ETF,,0.70,
Alerian Energy Infrastructure ETF,,0.35,
ALPS Active Equity Opportunity ETF,,0.48,
ALPS Equal Sector Weight ETF,,0.37,
ALPS International Sector Dividend Dogs ETF,,0.50,
American Century Focused Dynamic Growth ETF,,0.45,
American Century Quality Diversified International ETF,,0.39,
American Century U.S. Quality Growth ETF,,0.29,
American Century@ U.S. Quality Value ETF,,0.29,
American Conservative Values ETF,,0.75,
Amplify Blockchain Technology ETF,,0.70,
Amplify CWP Enhanced Dividend Income ETF,,0.55,
Avantis Emerging Markets Equity ETF,,0.33,
Avantis International Equity ETF,,0.23,
Avantis International Small Cap Value ETF,,0.36,
Avantis US Equity ETF,,0.15,
Avantis US Small Cap Value ETF,,0.25,
Ballast SmalllMid Cap ETF,,0.95,
Barron's 400 ETF,,0.65,
BBH Select Large Cap ETF,,0.65,
BNY Mellon International Equity ETF,,0.04,
BNY Mellon US Large Cap Core Equity ETF,,0.00,
BNY Mellon US Mid Cap Core Equity ETF,,0.04,
Clough Select Equity ETF,,0.85,
Columbia India Consumer ETF,,0.75,
Columbia International Equity Income ETF,,0.45,
Columbia Research Enhanced Core ETF,,0.15,
Columbia Research Enhanced Value ETF,,0.19,
Columbia U.S. Equity Income ETF,,0.35,
Day Hagan Smart Sector ETF,,0.68,
Dimensional International Core Equity Market ETF,,0.18,
Dimensional International Value ETF,,0.25,
Dimensional U.S. Equity Market ETF,,0.08,
Dimensional U.S. Small Cap ETF,,0.25,
Dimensional U.S. Targeted Value ETF,,0.27,
Dimensional US Core Equity Market ETF,,0.12,
Dimensional World ex U.S. Core Equity 2 ETF,,0.25,
Direxion Auspice Broad Commodity Strategy ETF,,0.50,
Distillate U.S. Fundamental Stability & Value ETF,,0.39,
Ea Bridgeway Blue Chip ETF,,0.15,
Equable Shares Hedged Equity ETF,,0.88,
ETC 6 Meridian Hedged Equity-Index Option Strategy ETF,,0.31,
ETC 6 Meridian Mega Cap Equity ETF,,0.31,
Fidelity Dividend ETF for Rising Rates,,0.15,
Fidelity Enhanced International ETF,,0.28,
Fidelity Enhanced Large Cap Core ETF,,0.18,
Fidelity Enhanced Large Cap Growth ETF,,0.18,
Fidelity Enhanced Large Cap Value ETF,,0.18,
Fidelity Enhanced Mid Cap ETF,,0.23,
Fidelity Enhanced Small Cap ETF,,0.28,
Fidelity High Dividend ETF,,0.15,
Fidelity International High Dividend ETF,,0.18,
Fidelity International Value Factor ETF,,0.18,
Fidelity Momentum Factor ETF,,0.15,
Fidelity MSCI Communication Services Index ETF,,0.08,
Fidelity MSCI Consumer Discretionary Index ETF,,0.08,
Fidelity MSCI Energy Index ETF,,0.08,
Fidelity MSCI Financials Index ETF,,0.08,
Fidelity MSCI Industrials Index ETF,,0.08,
Fidelity MSCI Information Technology Index ETF,,0.08,
Fidelity MSCI Materials Index ETF,,0.08,
Fidelity MSCI Utilities Index ETF,,0.08,
Fidelity Quality Factor ETF,,0.15,
Fidelity Small-Mid Multifactor ETF,,0.15,
Fidelity U.S. Multifactor ETF,,0.15,
Fidelity Value Factor ETF,,0.15,
First Trust Active Factor Large Cap ETF,,0.55,
First Trust Active Factor Mid Cap ETF,,0.65,
First Trust Active Factor Small Cap ETF,,0.75,
First Trust Dow 30 Equal Weight ETF,,0.50,
