fund_name,to_risk_morningstar,category,rel,volatility,col_3,yr,return,ytd_pct,anlsd_pct_1,yr_2,anlsd_pct_3,yr_3,anlsd_pct_5,yr_4,anlsd_10_pct,yr_5
AAM s&P 500 High Dividend Value ETF,Average,,,13.55,,,,3.64,2.36,,6.45,,11.54,,,
AB ETF International Low Volatility Equity,Low,,,6.98,,,18.35,,17.81,,12.94,,8.98,,9.01,
abrdn Dated Bloomberg Strategy K-1 AIl Free Commodity ETF Longer,Below,,Average,10.92,,,,9.76,10.57,,1.25,,12.96,,,
AdvisorShares Focused Equity ETF,Below,,Average,12.83,,,,0.56,-2.04,,10.13,,10.49,,,
AdvisorShares Insider Advantage ETF,Average,,,14.82,,,,4.08,2.26,,11.19,,11.56,,11.28,
Alerian Energy Infrastructure ETF,Average,,,15.24,,,-2.29,,1.63,,15.44,,22.95,,12.85,
ALPS Active Equity Opportunity ETF,Below,,Average,12.35,,,,8.65,6.77,,15.54,,12.84,,,
ALPS Equal Sector Weight ETF,Average,,,10.65,,,,5.79,4.02,,11.47,,12.75,,13.31,
Dogs ALPS International ETF Sector Dividend,Average,,,8.83,,,30.00,,30.13,,16.08,,13.40,,10.80,
American Growth ETF Century Focused Dynamic,Above,,Average,19.87,,,15.09,,10.20,,30.39,,11.64,,,
International American Century ETF Quality Diversified,Above,,Average,8.54,,,28.88,,27.51,,16.64,,9.66,,,
American ETF Century U.S. Quality Growth,Average,,,15.85,,,,8.81,5.54,,21.93,,13.89,,,
American ETF Century@ U.S. Quality Value,Average,,,11.10,,,,3.87,1.69,,9.79,,12.01,,,
American Conservative Values ETF,Below,,Average,"11,.40",,,,6.77,3.83,,15.37,,13.67,,,
Amplify Blockchain Technology ETF,Below,,Average,41.00,,,26.94,,20.37,,54.79,,17.06,,,
Income Amplify ETF CWP Enhanced Dividend,Average,,,9.65,,,10.45,,8.82,,9.68,,12.65,,,
Avantis Emerging Markets Equity ETF,Average,,,11.19,,,25.13,,23.19,,14.41,,8.24,,,
Avantis International Equity ETF,Above,,Average,8.74,,,28.74,,28.00,,15.06,,11.12,,,
Avantis ETF International Small Cap Value,Above,,Average,9.73,,,39.17,,39.36,,19.44,,14.64,,,
Avantis US Equity ETF,Above,,Average,13.40,,,,9.64,7.19,,15.59,,14.22,,,
Avantis US Small Cap Value ETF,High,,,20.54,,,,1.28,0.05,,9.20,,14.65,,,
Ballast SmalllMid Cap ETF,Average,,,17.79,,,,0.80,-0.02,,9.16,,12.02,,,
Barron's 400 ETF,Above,,Average,16.25,,,,7.73,5.60,,12.82,,12.27,,12.83,
BBH Select Large Cap ETF,Low,,,10.56,,,,6.91,4.43,,13.99,,11.25,,,
BNY Mellon International Equity ETF,Below,,Average,8.53,,,23.25,,22.23,,13.58,,10.30,,,
BNY ETF Mellon US Large Cap Core Equity,Average,,,12.61,,,10.77,,7.79,,20.53,,15.06,,,
BNY ETF Mellon US Mid Cap Core Equity,Average,,,15.75,,,,2.86,0.89,,9.79,,9.10,,,
Clough Select Equity ETF,Above,,Average,20.20,,,12.51,,9.24,,18.86,,11.44,,,
Columbia India Consumer ETF,Average,,,12.93,,,-7.75,,-8.25,,11.09,,11.41,,10.84,
ETF Columbia International Equity Income,Below,,Average,,7.56,,29.55,,29.21,,16.61,,13.48,,,
Columbia ETF Research Enhanced Core,Below,,Average,11.93,,,12.15,,9.47,,18.96,,16.81,,,
Columbia ETF Research Enhanced Value,Average,,,12.10,,,,9.66,8.20,,"11,.74",,13.95,,,
Columbia U.S. Equity Income ETF,Average,,,10.29,,,,2.46,1.00,,7.90,,13.44,,,
Day Hagan Smart Sector ETF,Low,,,11.51,,,,9.45,6.79,,13.97,,12.20,,,
Dimensional Market ETF International Core Equity,Below,,Average,8.47,,,25.14,,24.20,,13.95,,10.73,,,
Dimensional International Value ETF,Above,,Average,9.73,,,35.19,,34.89,,17.88,,16.00,,11.31,
Dimensional U.S. Equity Market ETF,Above,,Average,12.57,,,10.32,,7.35,,18.65,,14.45,,15.82,
Dimensional U.S. Small Cap ETF,Average,,,18.04,,,,2.47,0.57,,8.50,,9.89,,10.95,
Dimensional U.S. Targeted Value ETF,Average,,,19.32,,,,2.41,1.08,,8.67,,12.94,,11.08,
Dimensional ETF US Core Equity Market,Average,,,12.74,,,,9.73,6.92,,17.52,,14.16,,,
Dimensional 2 ETF World ex U.S. Core Equity,Average,,,8.45,,,26.16,,25.07,,14.10,,10.14,,10.16,
Direxion Auspice Broad Commodity,Low,,,9.83,,,,1.75,1.41,,0.39,,10.08,,,
Distillate Value ETF U.S_ Fundamental Stability &,Above,,Average,11.84,,,,2.19,0.47,,10.86,,12.21,,,
Ea Bridgeway Blue Chip ETF,Below,,Average,11.86,,,11.08,,8.31,,21.34,,16.70,,16.47,
Equable Shares Hedged Equity ETF,Below,,Average,6.76,,,,2.59,1.59,,7.65,,8.28,,,
Option ETC 6 Meridian Strategy Hedged ETF Equity-Index,Average,,,,7.76,,,1.72,0.91,,4.83,,10.40,,,
ETC 6 Meridian Mega Cap Equity ETF,Low,,,8.82,,,,7.87,6.19,,12.59,,13.52,,,
Fidelity Dividend ETF for Rising Rates,Average,,,11.17,,,13.78,,11.35,,14.37,,14.11,,,
