fund_name,charge_ongoing,management,fee
AdvisorShares Dorsey Wright ADR ETF,,0.75,
Alpha Architect U.S. Quantitative Value ETF,,0.29,
Bny Mellon Enhanced Dividend Income ETF,,0.5,
ClearBridge Large Cap Growth Select ETF,,0.47,
Defiance Connective Technologies ETF,,0.3,
Defiance Quantum ETF,,0.4,
Democratic Large Cap Core ETF,,0.45,
EA Bridgeway Omni Small-Cap Value ETF,,0.47,
Essential 40 Stock ETF,,0.5,
Flm Emerald Special Situations ETF,,0.7,
Fidelity Disruptive Communications ETF,,0.5,
Fidelity Nasdaq Composite Index ETF,,0.21,
First Trust Asia Pacific Ex-Japan AlphaDEX@ Fund,,0.8,
First Trust BuyWrite Income ETF,,0.75,
First Trust Developed Markets Ex-US AlphaDEX@ Fund,,0.8,
First Trust Developed Markets ex-US Small Cap AlphaDEX@ Fund,,0.8,
First Trust Dividend Strength ETF,,0.5,
First Trust Dorsey Wright Focus 5 ETF,,0.3,
First Trust Dorsey Wright Momentum & Dividend ETF,,0.6,
First Trust Dorsey Wright Momentum & Value ETF,,0.6,
First Trust Europe AlphaDEXB Fund,,0.8,
First Trust Eurozone AlphaDEXR ETF,,0.8,
First Trust Global Tactical Commodity Strategy Fund,,0.95,
First Trust India NIFTY 50 Equal Weight ETF,,0.8,
First Trust Indxx Global Natural Resources Income ETF,,0.7,
First Trust IndXX NextG ETF,,0.7,
First Trust Large Cap Value AlphaDEX@ Fund,,0.5,
First Trust Latin America AlphaDEX@ Fund,,0.8,
First Trust Mid Cap Core AlphaDEX@ Fund,,0.5,
First Trust Mid Cap Value AlphaDEXO Fund,,0.7,
First Trust Multi Cap Growth AlphaDEX@ Fund,,0.5,
First Trust Nasdaq Bank ETF,,0.6,
First Trust Nasdaq BuyWrite Income ETF,,0.75,
First Trust NASDAQ Cybersecurity ETF,,0.6,
First Trust Nasdaq Oil & Gas ETF,,0.6,
First Trust Nasdaq Semiconductor ETF,,0.6,
First Trust NASDAQ Technology Dividend Index Fund,,0.5,
First Trust NASDAQW Clean Edge@ Smart Grid Infrastructure Index Fund,,0.4,
First Trust NASDAQ-100-Technology Sector Index Fund,,0.4,
First Trust RBA American Industrial RenaissanceTM ETF,,0.7,
First Trust Rising Dividend Achievers ETF,,0.5,
First Trust Small Cap Core AlphaDEX@ Fund,,0.5,
